namespace,system_owner_code,publishable,grsf_sourceoftruth,grsf_creation,grsf_licence,source_link,useLimitation
arg_inidep,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source use https://www.argentina.gob.ar/sites/default/files/sismica.pdf
arg_inidep_grm_um,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source use https://www.argentina.gob.ar/sites/default/files/sismica.pdf
arg_inidep_sqa,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source use https://www.argentina.gob.ar/sites/default/files/sismica.pdf
arg_inidep_sqa_mngmt,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source use https://www.argentina.gob.ar/sites/default/files/sismica.pdf
aus_csiro,csiro,yes,TRUE,none,Copyright,http://www.cmar.csiro.au/geonetwork/srv/en/metadata.show?uuid=urn:cmar.csiro.au:dataset:12887&currTab=full,Copyright © Commonwealth Scientific and Industrial Research Organisation. Any use of copyright material on this website is subject to first receiving consent
aus_cwf,afma,no,TRUE,none,copyright,https://www.afma.gov.au/sustainability-environment/fishing-closures/closure-direction-maps,Copyright Act 1968 (https://www.legislation.gov.au/C1968A00063/latest/versions) source from https://www.afma.gov.au/fisheries/fishing-closures/maps-directions-closures-and-fishing-areas. Copyright at https://www.afma.gov.au/copyright
aus_frdc_chp,frdc,yes,TRUE,from_coordinates,CC,https://www.researchgate.net/publication/313019406_Integrated_approach_to_determining_stock_structure_implications_for_fisheries_management_of_sardine_Sardinops_sagax_in_Australian_waters,CC BY 4.0 - FRDC. Izzo
aus_gov_adw,gov_au,yes,TRUE,none,CC,https://data.gov.au/dataset/ds-ga-0a644b00-1acd-4fa6-bb18-5c4624fff23c/details?q=,CC BY 3.0 AU - This dataset was originally found on Geoscience Australia Offshore Petroleum and Greenhouse Gas Storage Act 2006 - Australian Maritime Boundaries 2020 (AMB2020) - Geodatabase.
aus_mb,awe,yes,TRUE,none,CC BY 4.0 DEED,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BE6EED98E-2800-424F-A1E9-D489E71E99BB%7D,CC license https://www.data.gov.au/about
aus_nsw_cf,nswdpi,yes,TRUE,from_coordinates,CC BY 4.0,https://www.dpi.nsw.gov.au/fishing/commercial/fisheries,CC BY 4.0 The State of New South Wales supports and encourages the reuse of its publicly funded information
aus_pb,awe,yes,TRUE,none,CC BY 4.0 DEED,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,CC license https://www.data.gov.au/about
aus_qld_cf,qld,yes,TRUE,none,CC BY 4.0,https://www.business.qld.gov.au/industries/farms-fishing-forestry/fisheries/commercial/profile,CC BY 4.0 © The State of Queensland 2024. The Queensland Government supports and encourages the distribution of its material.
aus_sa_cf,pirsa,yes,TRUE,from_coordinates,CC BY 4.0,https://pir.sa.gov.au/primary_industry/commercial_fishing/commercial_fisheries,CC BY 4.0 The Government of South Australia supports and encourages the dissemination and exchange of public sector information. Copyright subsists in all material included on this website and is either owned by or licensed to the Government of South Australia. Copyright material that is not owned by the Government of South Australia is clearly identified and use of this material by you including reproduction and communication may be subject to restrictions imposed by the copyright owner. The Government of South Australia has undertaken reasonable enquiries to identify material owned by third parties and secure permission for its reproduction. Permission may need to be obtained from third parties to re-use their material.
aus_wa,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,Copyright - Material on this website
aus_wa_cmf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,Copyright - Material on this website
